filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,12200.000,-0.00000008,2972.24715672,0.00792770
SplitPhase128kE2v3,44100,176400,12300.000,-0.00000008,2972.24848937,0.00926034
SplitPhase128kE2v3,44100,176400,12400.000,-0.00000008,2972.24995315,0.01072413
SplitPhase128kE2v3,44100,176400,12500.000,-0.00000008,2972.25155772,0.01232870
SplitPhase128kE2v3,44100,176400,12600.000,-0.00000008,2972.25330686,0.01407784
SplitPhase128kE2v3,44100,176400,12700.000,-0.00000008,2972.25519583,0.01596681
SplitPhase128kE2v3,44100,176400,12800.000,-0.00000008,2972.25721660,0.01798757
SplitPhase128kE2v3,44100,176400,12900.000,-0.00000008,2972.25934747,0.02011845
SplitPhase128kE2v3,44100,176400,13000.000,-0.00000008,2972.26155863,0.02232961
SplitPhase128kE2v3,44100,176400,13100.000,-0.00000008,2972.26381090,0.02458187
SplitPhase128kE2v3,44100,176400,13200.000,-0.00000008,2972.26605990,0.02683087
SplitPhase128kE2v3,44100,176400,13300.000,-0.00000008,2972.26826099,0.02903196
SplitPhase128kE2v3,44100,176400,13400.000,-0.00000008,2972.27037208,0.03114306
SplitPhase128kE2v3,44100,176400,13500.000,-0.00000008,2972.27236492,0.03313590
SplitPhase128kE2v3,44100,176400,13600.000,-0.00000008,2972.27421799,0.03498896
SplitPhase128kE2v3,44100,176400,13700.000,-0.00000008,2972.27592676,0.03669773
SplitPhase128kE2v3,44100,176400,13800.000,-0.00000008,2972.27750497,0.03827595
SplitPhase128kE2v3,44100,176400,13900.000,-0.00000008,2972.27898684,0.03975781
SplitPhase128kE2v3,44100,176400,14000.000,-0.00000008,2972.28042939,0.04120036
SplitPhase128kE2v3,44100,176400,14100.000,-0.00000008,2972.28189635,0.04266733
SplitPhase128kE2v3,44100,176400,14200.000,-0.00000008,2972.28340621,0.04417719
SplitPhase128kE2v3,44100,176400,14300.000,-0.00000008,2972.28495934,0.04573032
SplitPhase128kE2v3,44100,176400,14400.000,-0.00000008,2972.28655756,0.04732853
SplitPhase128kE2v3,44100,176400,14500.000,-0.00000008,2972.28820275,0.04897372
SplitPhase128kE2v3,44100,176400,14600.000,-0.00000008,2972.28989680,0.05066778
SplitPhase128kE2v3,44100,176400,14700.000,-0.00000008,2972.29164187,0.05241285
SplitPhase128kE2v3,44100,176400,14800.000,-0.00000008,2972.29344015,0.05421112
SplitPhase128kE2v3,44100,176400,14900.000,-0.00000008,2972.29529236,0.05606333
SplitPhase128kE2v3,44100,176400,15000.000,-0.00000008,2972.29720414,0.05797511
SplitPhase128kE2v3,44100,176400,15100.000,-0.00000008,2972.29917653,0.05994751
SplitPhase128kE2v3,44100,176400,15200.000,-0.00000008,2972.30121235,0.06198332
SplitPhase128kE2v3,44100,176400,15300.000,-0.00000008,2972.30331460,0.06408557
SplitPhase128kE2v3,44100,176400,15400.000,-0.00000008,2972.30548632,0.06625730
SplitPhase128kE2v3,44100,176400,15500.000,-0.00000008,2972.30773099,0.06850196
SplitPhase128kE2v3,44100,176400,15600.000,-0.00000008,2972.31005015,0.07082112
SplitPhase128kE2v3,44100,176400,15700.000,-0.00000008,2972.31245153,0.07322250
SplitPhase128kE2v3,44100,176400,15800.000,-0.00000008,2972.31493729,0.07570826
SplitPhase128kE2v3,44100,176400,15900.000,-0.00000008,2972.31751183,0.07828280
SplitPhase128kE2v3,44100,176400,16000.000,-0.00000008,2972.32017980,0.08095077
SplitPhase128kE2v3,44100,176400,16100.000,-0.00000008,2972.32294619,0.08371717
SplitPhase128kE2v3,44100,176400,16200.000,-0.00000008,2972.32581646,0.08658743
SplitPhase128kE2v3,44100,176400,16300.000,-0.00000008,2972.32879376,0.08956473
SplitPhase128kE2v3,44100,176400,16400.000,-0.00000008,2972.33188935,0.09266033
SplitPhase128kE2v3,44100,176400,16500.000,-0.00000008,2972.33510751,0.09587849
SplitPhase128kE2v3,44100,176400,16600.000,-0.00000008,2972.33845545,0.09922643
SplitPhase128kE2v3,44100,176400,16700.000,-0.00000008,2972.34194104,0.10271202
SplitPhase128kE2v3,44100,176400,16800.000,-0.00000008,2972.34557270,0.10634367
SplitPhase128kE2v3,44100,176400,16900.000,-0.00000008,2972.34935972,0.11013070
SplitPhase128kE2v3,44100,176400,17000.000,-0.00000008,2972.35330867,0.11407965
SplitPhase128kE2v3,44100,176400,17100.000,-0.00000008,2972.35743701,0.11820798
SplitPhase128kE2v3,44100,176400,17200.000,-0.00000008,2972.36175339,0.12252436
